model,benchmark,language,trigger,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
vinallama-7b,vi_gsm8k,vi,Chờ một chút,0,100,0.25,-0.045,0.25,189.2,0,True,False,experiments/results/vi_20260621_155623,20260621_155623
vinallama-7b,vi_gsm8k,vi,Chờ một chút,1,100,0.2,-0.045,0.25,344.4,0,True,False,experiments/results/vi_20260621_155623,20260621_155623
vinallama-7b,vi_gsm8k,vi,Chờ một chút,2,100,0.16,-0.045,0.25,538.0,0,True,False,experiments/results/vi_20260621_155623,20260621_155623
vinallama-7b,vimmlu,vi,Chờ một chút,0,100,0.34,-0.065,0.34,189.5,0,True,False,experiments/results/vi_20260621_184747,20260621_184747
vinallama-7b,vimmlu,vi,Chờ một chút,1,100,0.19,-0.065,0.34,355.8,0,True,False,experiments/results/vi_20260621_184747,20260621_184747
vinallama-7b,vimmlu,vi,Chờ một chút,2,100,0.21,-0.065,0.34,523.5,0,True,False,experiments/results/vi_20260621_184747,20260621_184747
vinallama-7b,vnhsge,vi,Chờ một chút,0,100,0.28,-0.025,0.28,133.0,0,True,False,experiments/results/vi_20260621_213936,20260621_213936
vinallama-7b,vnhsge,vi,Chờ một chút,1,100,0.25,-0.025,0.28,335.8,0,True,False,experiments/results/vi_20260621_213936,20260621_213936
vinallama-7b,vnhsge,vi,Chờ một chút,2,100,0.23,-0.025,0.28,607.2,0,True,False,experiments/results/vi_20260621_213936,20260621_213936
vistral-7b,vi_gsm8k,vi,Chờ một chút,0,100,0.56,-0.025,0.56,229.2,0,True,False,experiments/results/vi_20260622_111045,20260622_111045
vistral-7b,vi_gsm8k,vi,Chờ một chút,1,100,0.51,-0.025,0.56,268.9,0,True,False,experiments/results/vi_20260622_111045,20260622_111045
vistral-7b,vi_gsm8k,vi,Chờ một chút,2,100,0.51,-0.025,0.56,323.8,0,True,False,experiments/results/vi_20260622_111045,20260622_111045
vistral-7b,vimmlu,vi,Chờ một chút,0,100,0.39,-0.13,0.39,130.2,0,True,False,experiments/results/vi_20260622_132808,20260622_132808
vistral-7b,vimmlu,vi,Chờ một chút,1,100,0.13,-0.13,0.39,208.7,0,True,False,experiments/results/vi_20260622_132808,20260622_132808
vistral-7b,vimmlu,vi,Chờ một chút,2,100,0.13,-0.13,0.39,724.9,0,True,False,experiments/results/vi_20260622_132808,20260622_132808
vistral-7b,vnhsge,vi,Chờ một chút,0,100,0.48,-0.165,0.48,50.5,0,True,False,experiments/results/vi_20260622_161813,20260622_161813
vistral-7b,vnhsge,vi,Chờ một chút,1,100,0.16,-0.165,0.48,158.8,0,True,False,experiments/results/vi_20260622_161813,20260622_161813
vistral-7b,vnhsge,vi,Chờ một chút,2,100,0.15,-0.165,0.48,906.8,0,True,False,experiments/results/vi_20260622_161813,20260622_161813
greenmind-14b-r1,vi_gsm8k,vi,Chờ một chút,0,100,0.8,-0.125,0.8,199.4,0,True,False,experiments/results/vi_20260627_100550,20260627_100550
greenmind-14b-r1,vi_gsm8k,vi,Chờ một chút,1,100,0.51,-0.125,0.8,145.9,0,True,False,experiments/results/vi_20260627_100550,20260627_100550
greenmind-14b-r1,vi_gsm8k,vi,Chờ một chút,2,100,0.55,-0.125,0.8,165.3,0,True,False,experiments/results/vi_20260627_100550,20260627_100550
greenmind-14b-r1,vimmlu,vi,Chờ một chút,0,100,0.55,-0.05,0.55,136.5,0,True,False,experiments/results/vi_20260628_001656,20260628_001656
greenmind-14b-r1,vimmlu,vi,Chờ một chút,1,100,0.48,-0.05,0.55,159.1,0,True,False,experiments/results/vi_20260628_001656,20260628_001656
greenmind-14b-r1,vimmlu,vi,Chờ một chút,2,100,0.45,-0.05,0.55,153.5,0,True,False,experiments/results/vi_20260628_001656,20260628_001656
greenmind-14b-r1,vnhsge,vi,Chờ một chút,0,100,0.52,-0.015,0.52,159.1,0,True,False,experiments/results/vi_20260629_101330,20260629_101330
greenmind-14b-r1,vnhsge,vi,Chờ một chút,1,100,0.47,-0.015,0.52,159.0,0,True,False,experiments/results/vi_20260629_101330,20260629_101330
greenmind-14b-r1,vnhsge,vi,Chờ một chút,2,100,0.49,-0.015,0.52,144.2,0,True,False,experiments/results/vi_20260629_101330,20260629_101330
vistral-7b,vi_gsm8k,vi,"Không, chờ đã",0,100,0.56,-0.065,0.56,194.5,0,True,False,experiments/results/vi_20260716_092222,20260716_092222
vistral-7b,vi_gsm8k,vi,"Không, chờ đã",1,100,0.46,-0.065,0.56,298.8,0,True,False,experiments/results/vi_20260716_092222,20260716_092222
vistral-7b,vi_gsm8k,vi,"Không, chờ đã",2,100,0.43,-0.065,0.56,368.2,0,True,False,experiments/results/vi_20260716_092222,20260716_092222
vistral-7b,vimmlu,vi,"Không, chờ đã",0,100,0.43,-0.085,0.43,71.0,0,True,False,experiments/results/vi_20260716_115619,20260716_115619
vistral-7b,vimmlu,vi,"Không, chờ đã",1,100,0.22,-0.085,0.43,200.4,0,True,False,experiments/results/vi_20260716_115619,20260716_115619
vistral-7b,vimmlu,vi,"Không, chờ đã",2,100,0.26,-0.085,0.43,280.4,0,True,False,experiments/results/vi_20260716_115619,20260716_115619
vistral-7b,vnhsge,vi,"Không, chờ đã",0,100,0.5,-0.115,0.5,43.9,0,True,False,experiments/results/vi_20260716_133203,20260716_133203
vistral-7b,vnhsge,vi,"Không, chờ đã",1,100,0.21,-0.115,0.5,185.6,0,True,False,experiments/results/vi_20260716_133203,20260716_133203
